Project,Bug ID,Fixed File Name,Fix Faulty Line,Blame Faulty Line
Chart,1,source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,1797,1797
Chart,3,source/org/jfree/data/time/TimeSeries.java,1056,1056
Chart,8,source/org/jfree/data/time/Week.java,175,175
Chart,9,source/org/jfree/data/time/TimeSeries.java,944,944
Chart,10,source/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,65,65
Chart,11,source/org/jfree/chart/util/ShapeUtilities.java,275,275
Chart,12,source/org/jfree/chart/plot/MultiplePiePlot.java,145,145
Chart,13,source/org/jfree/chart/block/BorderArrangement.java,455,455
Chart,17,source/org/jfree/data/time/TimeSeries.java,857,857
Chart,20,source/org/jfree/chart/plot/ValueMarker.java,95,95
Chart,23,source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java,434,434
Chart,24,source/org/jfree/chart/renderer/GrayPaintScale.java,126,126
Closure,1,src/com/google/javascript/jscomp/RemoveUnusedVars.java,378,378
Closure,5,src/com/google/javascript/jscomp/InlineObjectLiterals.java,175,175
Closure,10,src/com/google/javascript/jscomp/NodeUtil.java,1417,1417
Closure,12,src/com/google/javascript/jscomp/MaybeReachingVariableUse.java,159,159
Closure,13,src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java,126,126
Closure,14,src/com/google/javascript/jscomp/ControlFlowAnalysis.java,767,767
Closure,15,src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java,101,101
Closure,18,src/com/google/javascript/jscomp/Compiler.java,1288,1288
Closure,20,src/com/google/javascript/jscomp/PeepholeSubstituteAlternateSyntax.java,220,220
Closure,28,src/com/google/javascript/jscomp/InlineCostEstimator.java,101,101
Closure,31,src/com/google/javascript/jscomp/Compiler.java,1285,1285
Closure,33,src/com/google/javascript/rhino/jstype/PrototypeObjectType.java,556,556
Closure,36,src/com/google/javascript/jscomp/InlineVariables.java,574,574
Closure,38,src/com/google/javascript/jscomp/CodeConsumer.java,245,245
Closure,51,src/com/google/javascript/jscomp/CodeConsumer.java,241,241
Closure,52,src/com/google/javascript/jscomp/CodeGenerator.java,745,745
Closure,55,src/com/google/javascript/jscomp/FunctionRewriter.java,117,117
Closure,57,src/com/google/javascript/jscomp/ClosureCodingConvention.java,197,197
Closure,59,src/com/google/javascript/jscomp/Compiler.java,255,255
Closure,61,src/com/google/javascript/jscomp/NodeUtil.java,957,957
Closure,62,src/com/google/javascript/jscomp/LightweightMessageFormatter.java,98,98
Closure,63,src/com/google/javascript/jscomp/LightweightMessageFormatter.java,98,98
Closure,65,src/com/google/javascript/jscomp/CodeGenerator.java,1015,1015
Closure,67,src/com/google/javascript/jscomp/AnalyzePrototypeProperties.java,318,318
Closure,69,src/com/google/javascript/jscomp/TypeCheck.java,1579,1579
Closure,70,src/com/google/javascript/jscomp/TypedScopeCreator.java,1745,1745
Closure,71,src/com/google/javascript/jscomp/CheckAccessControls.java,416,416
Closure,73,src/com/google/javascript/jscomp/CodeGenerator.java,1045,1045
Closure,77,src/com/google/javascript/jscomp/CodeGenerator.java,965,965
Closure,81,src/com/google/javascript/jscomp/parsing/IRFactory.java,516,516
Closure,82,src/com/google/javascript/rhino/jstype/JSType.java,163,163
Closure,86,src/com/google/javascript/jscomp/NodeUtil.java,2465,2465
Closure,91,src/com/google/javascript/jscomp/CheckGlobalThis.java,114,114
Closure,92,src/com/google/javascript/jscomp/ProcessClosurePrimitives.java,789,789
Closure,93,src/com/google/javascript/jscomp/ProcessClosurePrimitives.java,789,789
Closure,104,src/com/google/javascript/rhino/jstype/UnionType.java,291,291
Closure,107,src/com/google/javascript/jscomp/CommandLineRunner.java,861,861
Closure,111,src/com/google/javascript/jscomp/type/ClosureReverseAbstractInterpreter.java,54,54
Closure,113,src/com/google/javascript/jscomp/ProcessClosurePrimitives.java,329,329
Closure,114,src/com/google/javascript/jscomp/NameAnalyzer.java,578,578
Closure,118,src/com/google/javascript/jscomp/DisambiguateProperties.java,494,494
Closure,119,src/com/google/javascript/jscomp/GlobalNamespace.java,365,365
Closure,120,src/com/google/javascript/jscomp/ReferenceCollectingCallback.java,430,430
Closure,123,src/com/google/javascript/jscomp/CodeGenerator.java,285,285
Closure,125,src/com/google/javascript/jscomp/TypeCheck.java,1661,1661
Closure,129,src/com/google/javascript/jscomp/PrepareAst.java,165,165
Closure,130,src/com/google/javascript/jscomp/CollapseProperties.java,172,172
Closure,132,src/com/google/javascript/jscomp/PeepholeSubstituteAlternateSyntax.java,782,782
Closure,133,src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java,2400,2400
Lang,2,src/main/java/org/apache/commons/lang3/math/LocaleUtils.java,92,92
Lang,6,src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java,95,95
Lang,9,src/main/java/org/apache/commons/lang3/time/FastDateParser.java,143,143
Lang,11,src/main/java/org/apache/commons/lang3/RandomStringUtils.java,244,244
Lang,16,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,458,458
Lang,21,src/main/java/org/apache/commons/lang3/time/DateUtils.java,265,265
Lang,24,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,1413,1413
Lang,26,src/main/java/org/apache/commons/lang3/time/FastDateFormat.java,820,820
Lang,29,src/main/java/org/apache/commons/lang3/SystemUtils.java,1672,1672
Lang,33,src/main/java/org/apache/commons/lang3/ClassUtils.java,910,910
Lang,38,src/java/org/apache/commons/lang3/time/FastDateFormat.java,871,871
Lang,39,src/java/org/apache/commons/lang3/StringUtils.java,3675,3675
Lang,43,src/java/org/apache/commons/lang/text/ExtendedMessageFormat.java,421,421
Lang,44,src/java/org/apache/commons/lang/NumberUtils.java,144,144
Lang,45,src/java/org/apache/commons/lang/WordUtils.java,615,615
Lang,48,src/java/org/apache/commons/lang/builder/EqualssBuilder.java,"379,","379,"
Lang,49,src/java/org/apache/commons/lang/math/Fraction.java,465,465
Lang,51,src/java/org/apache/commons/lang/BooleanUtils.java,681,681
Lang,52,src/java/jorg/apache/commons/lang/StringEscapeUtils.java,235,235
Lang,54,src/java/org/apache/commons/lang/LocaleUtils.java,113,113
Lang,55,src/java/org/apache/commons/lang/time/StopWatch.java,117,117
Lang,57,src/java/org/apache/commons/lang/LocaleUtils.java,223,223
Lang,59,src/java/org/apache/commons/lang/text/StrBuilder.java,884,884
Lang,61,src/java/org/apache/commons/lang/text/StrBuilder.java,1776,1776
Math,2,src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java,268,268
Math,3,src/main/java/org/apache/commons/math3/util/MathArrays.java,821,821
Math,5,src/main/java/org/apache/commons/math3/complex/Complex.java,305,305
Math,9,src/main/java/org/apache/commons/math3/geometry/euclidean/threed/Line.java,87,87
Math,10,src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java,1418,1418
Math,11,src/main/java/org/apache/commons/math3/distribution/MultivariateNormalDistribution.java,183,183
Math,19,src/main/java/org/apache/commons/math3/optimization/direct/CMAESOptimizer.java,539,539
Math,27,src/main/java/org/apache/commons/math3/fraction/Fraction.java,597,597
