DefectsfJ ID,Faulty file path,faulty line,dummy
1,source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,1797,
5,source/org/jfree/data/xy/XYSeries.java,548,
6,source/org/jfree/chart/util/ShapeList.java,111,
7,source/org/jfree/data/time/TimePeriodValues.java,300,
8,source/org/jfree/data/time/Week.java,175,
9,source/org/jfree/data/time/TimeSeries.java,944,
10,source/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,65,
11,source/org/jfree/chart/util/ShapeUtilities.java,275,
12,source/org/jfree/chart/plot/MultiplePiePlot.java,145,
13,source/org/jfree/chart/block/BorderArrangement.java,455,
17,source/org/jfree/data/time/TimeSeries.java,857,
20,source/org/jfree/chart/plot/ValueMarker.java,95,
24,source/org/jfree/chart/renderer/GrayPaintScale.java,126,
