Defects4J ID, Faulty file path, fix faulty line, blame faulty line
1,src/com/google/javascript/jscomp/RemoveUnusedVars.java,378,378
5,src/com/google/javascript/jscomp/InlineObjectLiterals.java,175,175
10,src/com/google/javascript/jscomp/NodeUtil.java,1417,1417
12,src/com/google/javascript/jscomp/MaybeReachingVariableUse.java,159,159
13,src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java,126,126
14,src/com/google/javascript/jscomp/ControlFlowAnalysis.java,767,767
15,src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java,101,101
18,src/com/google/javascript/jscomp/Compiler.java,1288,1288
20,src/com/google/javascript/jscomp/PeepholeSubstituteAlternateSyntax.java,220,220
28,src/com/google/javascript/jscomp/InlineCostEstimator.java,101,101
31,src/com/google/javascript/jscomp/Compiler.java,1285,1285
33,src/com/google/javascript/rhino/jstype/PrototypeObjectType.java,556,556
36,src/com/google/javascript/jscomp/InlineVariables.java,574,574
38,src/com/google/javascript/jscomp/CodeConsumer.java,245,245
51,src/com/google/javascript/jscomp/CodeConsumer.java,241,241
52,src/com/google/javascript/jscomp/CodeGenerator.java,745,745
55,src/com/google/javascript/jscomp/FunctionRewriter.java,117,117
57,src/com/google/javascript/jscomp/ClosureCodingConvention.java,197,197
59,src/com/google/javascript/jscomp/Compiler.java,255,255
61,src/com/google/javascript/jscomp/NodeUtil.java,957,957
62,src/com/google/javascript/jscomp/LightweightMessageFormatter.java,98,98
63,src/com/google/javascript/jscomp/LightweightMessageFormatter.java,98,98
65,src/com/google/javascript/jscomp/CodeGenerator.java,1015,1015
67,src/com/google/javascript/jscomp/AnalyzePrototypeProperties.java,318,318
69,src/com/google/javascript/jscomp/TypeCheck.java,1579,1579
70,src/com/google/javascript/jscomp/TypedScopeCreator.java,1745,1745
71,src/com/google/javascript/jscomp/CheckAccessControls.java,416,416
73,src/com/google/javascript/jscomp/CodeGenerator.java,1045,1045
77,src/com/google/javascript/jscomp/CodeGenerator.java,965,965
81,src/com/google/javascript/jscomp/parsing/IRFactory.java,516,516
82,src/com/google/javascript/rhino/jstype/JSType.java,163,163
86,src/com/google/javascript/jscomp/NodeUtil.java,2465,2465
91,src/com/google/javascript/jscomp/CheckGlobalThis.java,114,114
92,src/com/google/javascript/jscomp/ProcessClosurePrimitives.java,789,789
93,src/com/google/javascript/jscomp/ProcessClosurePrimitives.java,789,789
104,src/com/google/javascript/rhino/jstype/UnionType.java,291,291
107,src/com/google/javascript/jscomp/CommandLineRunner.java,861,861
111,src/com/google/javascript/jscomp/type/ClosureReverseAbstractInterpreter.java,54,54
113,src/com/google/javascript/jscomp/ProcessClosurePrimitives.java,329,329
114,src/com/google/javascript/jscomp/NameAnalyzer.java,578,578
118,src/com/google/javascript/jscomp/DisambiguateProperties.java,494,494
119,src/com/google/javascript/jscomp/GlobalNamespace.java,365,365
120,src/com/google/javascript/jscomp/ReferenceCollectingCallback.java,430,430
123,src/com/google/javascript/jscomp/CodeGenerator.java,285,285
125,src/com/google/javascript/jscomp/TypeCheck.java,1661,1661
129,src/com/google/javascript/jscomp/PrepareAst.java,165,165
130,src/com/google/javascript/jscomp/CollapseProperties.java,172,172
132,src/com/google/javascript/jscomp/PeepholeSubstituteAlternateSyntax.java,782,782
133,src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java,2400,2400
