Defects4J ID, Faulty file path, fix faulty line, blame faulty line
2,src/main/java/org/apache/commons/lang3/math/LocaleUtils.java,92,92
6,src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java,95,95
9,src/main/java/org/apache/commons/lang3/time/FastDateParser.java,143,143
11,src/main/java/org/apache/commons/lang3/RandomStringUtils.java,244,244
16,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,458,458
21,src/main/java/org/apache/commons/lang3/time/DateUtils.java,265,265
24,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,1413,1413
26,src/main/java/org/apache/commons/lang3/time/FastDateFormat.java,820,820
29,src/main/java/org/apache/commons/lang3/SystemUtils.java,1672,1672
33,src/main/java/org/apache/commons/lang3/ClassUtils.java,910,910
38,src/java/org/apache/commons/lang3/time/FastDateFormat.java,871,871
39,src/java/org/apache/commons/lang3/StringUtils.java,3675,3675
43,src/java/org/apache/commons/lang/text/ExtendedMessageFormat.java,421,421
44,src/java/org/apache/commons/lang/NumberUtils.java,144,144
45,src/java/org/apache/commons/lang/WordUtils.java,615,615
48,src/java/org/apache/commons/lang/builder/EqualsBuilder.java,379,379
49,src/java/org/apache/commons/lang/math/Fraction.java,465,465
51,src/java/org/apache/commons/lang/BooleanUtils.java,681,681
52,src/java/org/apache/commons/lang/StringEscapeUtils.java,235,235
54,src/java/org/apache/commons/lang/LocaleUtils.java,113,113
55,src/java/org/apache/commons/lang/time/StopWatch.java,117,117
57,src/java/org/apache/commons/lang/LocaleUtils.java,223,223
59,src/java/org/apache/commons/lang/text/StrBuilder.java,884,884
61,src/java/org/apache/commons/lang/text/StrBuilder.java,1776,1776
