DefectsfJ ID,Faulty file path,fix faulty line,blame faulty line,buffer
2,src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java,268,268,
5,src/main/java/org/apache/commons/math3/complex/Complex.java,305,305,
9,src/main/java/org/apache/commons/math3/geometry/euclidean/threed/Line.java,87,87,two
11,src/main/java/org/apache/commons/math3/distribution/MultivariateNormalDistribution.java,183,183,
24,src/main/java/org/apache/commons/math3/optimization/univariate/BrentOptimizer.java,230,229,two
27,src/main/java/org/apache/commons/math3/fraction/Fraction.java,597,597,
30,src/main/java/org/apache/commons/math3/stat/inference/MannWhitneyUTest.java,173,176,
32,src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java,136,135,
33,src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java,338,338,
34,src/main/java/org/apache/commons/math3/genetics/ListPopulation.java,209,208,
35,src/main/java/org/apache/commons/math3/genetics/ElitisticListPopulation.java,51,50,two
41,src/main/java/org/apache/commons/math/stat/descriptive/moment/Variance.java,520,520,
46,src/main/java/org/apache/commons/math/complex/Complex.java,260,259,two
50,src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java,187,186,
57,src/main/java/org/apache/commons/math/stat/clustering/KMeansPlusPlusClusterer.java,175,175,
58,src/main/java/org/apache/commons/math/optimization/fitting/GaussianFitter.java,121,81,
59,src/main/java/org/apache/commons/math/util/FastMath.java,3482,3482,
63,src/main/java/org/apache/commons/math/util/MathUtils.java,417,423,
67,src/main/java/org/apache/commons/math/optimization/MultiStartUnivariateRealOptimizer.java,92,92,two
69,src/main/java/org/apache/commons/math/stat/correlation/PearsonsCorrelation.java,171,171,two
70,src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java,72,72,
72,src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java,115,115,two
75,src/main/java/org/apache/commons/math/stat/Frequency.java,303,303,
79,src/main/java/org/apache/commons/math/util/MathUtils.java,1624,1624,two
80,src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java,1135,1135,
82,src/main/java/org/apache/commons/math/optimization/linear/SimplexSolver.java,82,81,
85,src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java,198,198,
91,src/java/org/apache/commons/math/fraction/Fraction.java,259,259,two
94,src/java/org/apache/commons/math/util/MathUtils.java,412,412,two
100,src/java/org/apache/commons/math/estimation/AbstractEstimator.java,166,166,three
101,src/java/org/apache/commons/math/complex/ComplexFormat.java,377,377,
104,src/java/org/apache/commons/math/special/Gamma.java,37,37,
