Defects4J ID, Faulty file path, fix faulty line, blame faulty line
5,src/org/mockito/internal/verification/VerificationOverTimeImpl.java,91,91
7,src/org/mockito/internal/util/reflection/GenericMetadataSupport.java,378,378
8,src/org/mockito/internal/util/reflection/GenericMetadataSupport.java,79,79
18,src/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java,86,86
24,src/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java,76,76
26,src/org/mockito/internal/util/Primitives.java,66,66
28,src/org/mockito/internal/configuration/DefaultInjectionEngine.java,93,93
29,src/org/mockito/internal/matchers/Same.java,29,29
34,src/org/mockito/internal/invocation/InvocationMatcher.java,106,106
38,src/org/mockito/internal/verification/argumentmatching/ArgumentMatchingTool.java,48,48
