index,key
atlas0,"e1df983cac89e612db7192a718cc819816bf95b1^
e1df983cac89e612db7192a718cc819816bf95b1
src/main/java/org/apache/metadata/types/AbstractDataType.java
src/main/java/org/apache/metadata/types/AbstractDataType.java"
atlas1,"4c1f4c8f97e04ca9bfa00c361f86ed568f443e92^
4c1f4c8f97e04ca9bfa00c361f86ed568f443e92
src/main/java/org/apache/metadata/types/StructType.java
src/main/java/org/apache/metadata/types/StructType.java"
atlas2,"b8feeebf7a191601d05fd2a44961f230fc47b5eb^
b8feeebf7a191601d05fd2a44961f230fc47b5eb
src/main/java/org/apache/metadata/types/TraitTypeDefinition.java
src/main/java/org/apache/metadata/types/HierarchicalTypeDefinition.java"
atlas3,"37ec473dd22b2f945183c034ab96183cece49b32^
37ec473dd22b2f945183c034ab96183cece49b32
src/main/java/org/apache/metadata/types/HierarchicalType.java
src/main/java/org/apache/metadata/types/HierarchicalType.java"
atlas4,"f09a14be116ed1a1e7320d0424baa4e97b91a993^
f09a14be116ed1a1e7320d0424baa4e97b91a993
src/main/java/org/apache/metadata/storage/ReferenceableInstance.java
src/main/java/org/apache/metadata/storage/ReferenceableInstance.java"
atlas5,"f09a14be116ed1a1e7320d0424baa4e97b91a993^
f09a14be116ed1a1e7320d0424baa4e97b91a993
src/main/java/org/apache/metadata/types/ClassType.java
src/main/java/org/apache/metadata/types/ClassType.java"
atlas6,"f09a14be116ed1a1e7320d0424baa4e97b91a993^
f09a14be116ed1a1e7320d0424baa4e97b91a993
src/main/java/org/apache/metadata/types/FieldMapping.java
src/main/java/org/apache/metadata/types/FieldMapping.java"
atlas7,"f09a14be116ed1a1e7320d0424baa4e97b91a993^
f09a14be116ed1a1e7320d0424baa4e97b91a993
src/main/java/org/apache/metadata/types/TypedStructHandler.java
src/main/java/org/apache/metadata/types/TypedStructHandler.java"
atlas8,"d3e60d7148e583e310b69415161e657fa84143d9^
d3e60d7148e583e310b69415161e657fa84143d9
src/main/java/org/apache/metadata/types/ClassType.java
src/main/java/org/apache/metadata/types/ClassType.java"
atlas9,"639671ca5def707ea40539b0fc3c91480a87871f^
639671ca5def707ea40539b0fc3c91480a87871f
typesystem/src/main/java/org/apache/hadoop/metadata/types/AttributeInfo.java
typesystem/src/main/java/org/apache/hadoop/metadata/types/AttributeInfo.java"
atlas10,"caac858f4218a9b2c3e9e742c3dd2ff5268eb233^
caac858f4218a9b2c3e9e742c3dd2ff5268eb233
webapp/src/main/java/org/apache/hadoop/metadata/web/listeners/GuiceServletConfig.java
webapp/src/main/java/org/apache/hadoop/metadata/web/listeners/GuiceServletConfig.java"
atlas11,"34cdef44d8e58bc646f6ce97469d0a8e5c7f6732^
34cdef44d8e58bc646f6ce97469d0a8e5c7f6732
webapp/src/main/java/org/apache/hadoop/metadata/web/resources/EntityResource.java
webapp/src/main/java/org/apache/hadoop/metadata/web/resources/EntityResource.java"
atlas12,"255fa079e138602cdc5ea63395de106a5d76cc17^
255fa079e138602cdc5ea63395de106a5d76cc17
webapp/src/main/java/org/apache/hadoop/metadata/web/resources/EntityResource.java
webapp/src/main/java/org/apache/hadoop/metadata/web/resources/EntityResource.java"
atlas13,"255fa079e138602cdc5ea63395de106a5d76cc17^
255fa079e138602cdc5ea63395de106a5d76cc17
webapp/src/main/java/org/apache/hadoop/metadata/web/resources/TypesResource.java
webapp/src/main/java/org/apache/hadoop/metadata/web/resources/TypesResource.java"
