,DFJ ID,Rank,orig change info,suggested change info,original change count,suggested change count,Found All Ingredients?
0,Closure3,1,"orig_dummy
","suggested_dummy
dummy
",1,2,False
1,Closure3,2,"insert MethodInvocation MethodInvocation
insert SingleVariableDeclaration MethodDeclaration
insert SwitchCase SwitchStatement
","insert SingleVariableDeclaration MethodDeclaration
",3,1,False
2,Closure3,3,"insert MethodInvocation MethodInvocation
insert SingleVariableDeclaration MethodDeclaration
insert SwitchCase SwitchStatement
","insert MethodInvocation MethodInvocation
",3,1,False
3,Closure3,4,"insert MethodInvocation MethodInvocation
insert SingleVariableDeclaration MethodDeclaration
insert SwitchCase SwitchStatement
","insert MethodInvocation MethodInvocation
insert SingleVariableDeclaration MethodDeclaration
",3,2,False
4,Closure3,5,"orig_dummy
","suggested_dummy
dummy
",1,2,False
5,Closure3,6,"orig_dummy
","suggested_dummy
dummy
",1,2,False
6,Closure3,7,"orig_dummy
","suggested_dummy
dummy
",1,2,False
7,Closure3,8,"insert MethodInvocation MethodInvocation
insert SingleVariableDeclaration MethodDeclaration
insert SwitchCase SwitchStatement
","insert SingleVariableDeclaration MethodDeclaration
",3,1,False
8,Closure3,9,"insert MethodInvocation MethodInvocation
insert SingleVariableDeclaration MethodDeclaration
insert SwitchCase SwitchStatement
",,3,0,False
9,Closure3,10,"insert MethodInvocation MethodInvocation
insert SingleVariableDeclaration MethodDeclaration
insert SwitchCase SwitchStatement
","insert MethodInvocation MethodInvocation
insert SingleVariableDeclaration MethodDeclaration
",3,2,False
10,Closure4,1,"orig_dummy
","suggested_dummy
dummy
",1,2,False
11,Closure4,2,"delete MethodInvocation IfStatement
delete MethodInvocation IfStatement
insert MethodInvocation IfStatement
insert MethodInvocation IfStatement
",,4,0,False
12,Closure4,3,"delete MethodInvocation IfStatement
delete MethodInvocation IfStatement
insert MethodInvocation IfStatement
insert MethodInvocation IfStatement
","delete MethodInvocation IfStatement
insert MethodInvocation IfStatement
",4,2,False
13,Closure4,4,"delete MethodInvocation IfStatement
delete MethodInvocation IfStatement
insert MethodInvocation IfStatement
insert MethodInvocation IfStatement
",,4,0,False
14,Closure4,5,"orig_dummy
","suggested_dummy
dummy
",1,2,False
15,Closure4,6,"orig_dummy
","suggested_dummy
dummy
",1,2,False
16,Closure4,7,"delete MethodInvocation IfStatement
delete MethodInvocation IfStatement
insert MethodInvocation IfStatement
insert MethodInvocation IfStatement
","delete MethodInvocation IfStatement
insert MethodInvocation IfStatement
",4,2,False
17,Closure4,8,"orig_dummy
","suggested_dummy
dummy
",1,2,False
18,Closure4,9,"delete MethodInvocation IfStatement
delete MethodInvocation IfStatement
insert MethodInvocation IfStatement
insert MethodInvocation IfStatement
",,4,0,False
19,Closure4,10,"delete MethodInvocation IfStatement
delete MethodInvocation IfStatement
insert MethodInvocation IfStatement
insert MethodInvocation IfStatement
",,4,0,False
20,Closure6,1,"orig_dummy
","suggested_dummy
dummy
",1,2,False
21,Closure6,2,"delete Block IfStatement
delete Block IfStatement
insert ReturnStatement Block
move Block IfStatement IfStatement
move Block IfStatement IfStatement
",,5,0,False
22,Closure6,3,"delete Block IfStatement
delete Block IfStatement
insert ReturnStatement Block
move Block IfStatement IfStatement
move Block IfStatement IfStatement
",,5,0,False
23,Closure6,4,"orig_dummy
","suggested_dummy
dummy
",1,2,False
24,Closure6,5,"delete Block IfStatement
delete Block IfStatement
insert ReturnStatement Block
move Block IfStatement IfStatement
move Block IfStatement IfStatement
","insert ReturnStatement Block
",5,1,False
25,Closure6,6,"orig_dummy
","suggested_dummy
dummy
",1,2,False
26,Closure6,7,"orig_dummy
","suggested_dummy
dummy
",1,2,False
27,Closure6,8,"delete Block IfStatement
delete Block IfStatement
insert ReturnStatement Block
move Block IfStatement IfStatement
move Block IfStatement IfStatement
","insert ReturnStatement Block
move Block IfStatement IfStatement
",5,2,False
28,Closure6,9,"delete Block IfStatement
delete Block IfStatement
insert ReturnStatement Block
move Block IfStatement IfStatement
move Block IfStatement IfStatement
","delete Block IfStatement
insert ReturnStatement Block
move Block IfStatement IfStatement
",5,3,False
29,Closure6,10,"delete Block IfStatement
delete Block IfStatement
insert ReturnStatement Block
move Block IfStatement IfStatement
move Block IfStatement IfStatement
","delete Block IfStatement
insert ReturnStatement Block
move Block IfStatement IfStatement
",5,3,False
30,Closure10,1,"update SimpleName SimpleName
","update SimpleName SimpleName
",1,1,True
31,Closure10,2,"update SimpleName SimpleName
",,1,0,False
32,Closure10,3,"update SimpleName SimpleName
",,1,0,False
33,Closure10,4,"update SimpleName SimpleName
",,1,0,False
34,Closure10,5,"update SimpleName SimpleName
",,1,0,False
35,Closure10,6,"update SimpleName SimpleName
",,1,0,False
36,Closure10,7,"update SimpleName SimpleName
",,1,0,False
37,Closure10,8,"update SimpleName SimpleName
",,1,0,False
38,Closure10,9,"update SimpleName SimpleName
",,1,0,False
39,Closure10,10,"update SimpleName SimpleName
",,1,0,False
40,Closure11,1,"delete IfStatement IfStatement
move IfStatement IfStatement IfStatement
",,2,0,False
41,Closure11,2,"delete IfStatement IfStatement
move IfStatement IfStatement IfStatement
",,2,0,False
42,Closure11,3,"delete IfStatement IfStatement
move IfStatement IfStatement IfStatement
",,2,0,False
43,Closure11,4,"delete IfStatement IfStatement
move IfStatement IfStatement IfStatement
",,2,0,False
44,Closure11,5,"delete IfStatement IfStatement
move IfStatement IfStatement IfStatement
",,2,0,False
45,Closure11,6,"delete IfStatement IfStatement
move IfStatement IfStatement IfStatement
",,2,0,False
46,Closure11,7,"delete IfStatement IfStatement
move IfStatement IfStatement IfStatement
",,2,0,False
47,Closure11,8,"delete IfStatement IfStatement
move IfStatement IfStatement IfStatement
",,2,0,False
48,Closure11,9,"delete IfStatement IfStatement
move IfStatement IfStatement IfStatement
",,2,0,False
49,Closure11,10,"delete IfStatement IfStatement
move IfStatement IfStatement IfStatement
",,2,0,False
50,Closure13,1,"move MethodInvocation Block Block
",,1,0,False
51,Closure13,2,"move MethodInvocation Block Block
",,1,0,False
52,Closure13,3,"move MethodInvocation Block Block
",,1,0,False
53,Closure13,4,"move MethodInvocation Block Block
","move MethodInvocation Block Block
",1,1,True
54,Closure13,5,"move MethodInvocation Block Block
",,1,0,False
55,Closure13,6,"move MethodInvocation Block Block
",,1,0,False
56,Closure13,7,"move MethodInvocation Block Block
","move MethodInvocation Block Block
",1,1,True
57,Closure13,8,"move MethodInvocation Block Block
","move MethodInvocation Block Block
",1,1,True
58,Closure13,9,"orig_dummy
","suggested_dummy
dummy
",1,2,False
59,Closure13,10,"orig_dummy
","suggested_dummy
dummy
",1,2,False
60,Closure14,1,"update QualifiedName QualifiedName
",,1,0,False
61,Closure14,2,"update QualifiedName QualifiedName
",,1,0,False
62,Closure14,3,"update QualifiedName QualifiedName
",,1,0,False
63,Closure14,4,"update QualifiedName QualifiedName
",,1,0,False
64,Closure14,5,"update QualifiedName QualifiedName
",,1,0,False
65,Closure14,6,"update QualifiedName QualifiedName
",,1,0,False
66,Closure14,7,"update QualifiedName QualifiedName
",,1,0,False
67,Closure14,8,"update QualifiedName QualifiedName
",,1,0,False
68,Closure14,9,"update QualifiedName QualifiedName
",,1,0,False
69,Closure14,10,"update QualifiedName QualifiedName
",,1,0,False
70,Closure18,1,"delete InfixExpression IfStatement
move MethodInvocation InfixExpression IfStatement
",,2,0,False
71,Closure18,2,"delete InfixExpression IfStatement
move MethodInvocation InfixExpression IfStatement
",,2,0,False
72,Closure18,3,"delete InfixExpression IfStatement
move MethodInvocation InfixExpression IfStatement
",,2,0,False
73,Closure18,4,"delete InfixExpression IfStatement
move MethodInvocation InfixExpression IfStatement
",,2,0,False
74,Closure18,5,"delete InfixExpression IfStatement
move MethodInvocation InfixExpression IfStatement
",,2,0,False
75,Closure18,6,"delete InfixExpression IfStatement
move MethodInvocation InfixExpression IfStatement
",,2,0,False
76,Closure18,7,"delete InfixExpression IfStatement
move MethodInvocation InfixExpression IfStatement
",,2,0,False
77,Closure18,8,"delete InfixExpression IfStatement
move MethodInvocation InfixExpression IfStatement
",,2,0,False
78,Closure18,9,"delete InfixExpression IfStatement
move MethodInvocation InfixExpression IfStatement
",,2,0,False
79,Closure18,10,"delete InfixExpression IfStatement
move MethodInvocation InfixExpression IfStatement
",,2,0,False
80,Closure20,1,"insert InfixExpression IfStatement
move InfixExpression IfStatement InfixExpression
","insert InfixExpression IfStatement
move InfixExpression IfStatement InfixExpression
",2,2,True
81,Closure20,2,"insert InfixExpression IfStatement
move InfixExpression IfStatement InfixExpression
",,2,0,False
82,Closure20,3,"insert InfixExpression IfStatement
move InfixExpression IfStatement InfixExpression
",,2,0,False
83,Closure20,4,"insert InfixExpression IfStatement
move InfixExpression IfStatement InfixExpression
",,2,0,False
84,Closure20,5,"insert InfixExpression IfStatement
move InfixExpression IfStatement InfixExpression
",,2,0,False
85,Closure20,6,"orig_dummy
","suggested_dummy
dummy
",1,2,False
86,Closure20,7,"insert InfixExpression IfStatement
move InfixExpression IfStatement InfixExpression
",,2,0,False
87,Closure20,8,"insert InfixExpression IfStatement
move InfixExpression IfStatement InfixExpression
",,2,0,False
88,Closure20,9,"insert InfixExpression IfStatement
move InfixExpression IfStatement InfixExpression
",,2,0,False
89,Closure20,10,"insert InfixExpression IfStatement
move InfixExpression IfStatement InfixExpression
",,2,0,False
90,Closure31,1,"delete PrefixExpression InfixExpression
",,1,0,False
91,Closure31,2,"delete PrefixExpression InfixExpression
",,1,0,False
92,Closure31,3,"delete PrefixExpression InfixExpression
",,1,0,False
93,Closure31,4,"delete PrefixExpression InfixExpression
",,1,0,False
94,Closure31,5,"delete PrefixExpression InfixExpression
",,1,0,False
95,Closure31,6,"delete PrefixExpression InfixExpression
",,1,0,False
96,Closure31,7,"delete PrefixExpression InfixExpression
",,1,0,False
97,Closure31,8,"delete PrefixExpression InfixExpression
",,1,0,False
98,Closure31,9,"delete PrefixExpression InfixExpression
",,1,0,False
99,Closure31,10,"delete PrefixExpression InfixExpression
",,1,0,False
100,Closure38,1,"insert ParenthesizedExpression InfixExpression
move InfixExpression InfixExpression InfixExpression
",,2,0,False
101,Closure38,2,"orig_dummy
","suggested_dummy
dummy
",1,2,False
102,Closure38,3,"orig_dummy
","suggested_dummy
dummy
",1,2,False
103,Closure38,4,"insert ParenthesizedExpression InfixExpression
move InfixExpression InfixExpression InfixExpression
","insert ParenthesizedExpression InfixExpression
",2,1,False
104,Closure38,5,"orig_dummy
","suggested_dummy
dummy
",1,2,False
105,Closure38,6,"orig_dummy
","suggested_dummy
dummy
",1,2,False
106,Closure38,7,"insert ParenthesizedExpression InfixExpression
move InfixExpression InfixExpression InfixExpression
",,2,0,False
107,Closure38,8,"insert ParenthesizedExpression InfixExpression
move InfixExpression InfixExpression InfixExpression
",,2,0,False
108,Closure38,9,"insert ParenthesizedExpression InfixExpression
move InfixExpression InfixExpression InfixExpression
","move InfixExpression InfixExpression InfixExpression
",2,1,False
109,Closure38,10,"insert ParenthesizedExpression InfixExpression
move InfixExpression InfixExpression InfixExpression
",,2,0,False
110,Closure40,1,"orig_dummy
","suggested_dummy
dummy
",1,2,False
111,Closure40,2,"delete IfStatement Block
move MethodInvocation Block Block
update BooleanLiteral BooleanLiteral
",,3,0,False
112,Closure40,3,"delete IfStatement Block
move MethodInvocation Block Block
update BooleanLiteral BooleanLiteral
","delete IfStatement Block
move MethodInvocation Block Block
",3,2,False
113,Closure40,4,"delete IfStatement Block
move MethodInvocation Block Block
update BooleanLiteral BooleanLiteral
","delete IfStatement Block
move MethodInvocation Block Block
",3,2,False
114,Closure40,5,"orig_dummy
","suggested_dummy
dummy
",1,2,False
115,Closure40,6,"delete IfStatement Block
move MethodInvocation Block Block
update BooleanLiteral BooleanLiteral
","delete IfStatement Block
move MethodInvocation Block Block
",3,2,False
116,Closure40,7,"orig_dummy
","suggested_dummy
dummy
",1,2,False
117,Closure40,8,"orig_dummy
","suggested_dummy
dummy
",1,2,False
118,Closure40,9,"delete IfStatement Block
move MethodInvocation Block Block
update BooleanLiteral BooleanLiteral
","delete IfStatement Block
move MethodInvocation Block Block
",3,2,False
119,Closure40,10,"delete IfStatement Block
move MethodInvocation Block Block
update BooleanLiteral BooleanLiteral
","delete IfStatement Block
",3,1,False
120,Closure46,1,"delete MethodDeclaration TypeDeclaration
","delete MethodDeclaration TypeDeclaration
",1,1,True
121,Closure46,2,"orig_dummy
","suggested_dummy
dummy
",1,2,False
122,Closure46,3,"orig_dummy
","suggested_dummy
dummy
",1,2,False
123,Closure46,4,"delete MethodDeclaration TypeDeclaration
",,1,0,False
124,Closure46,5,"orig_dummy
","suggested_dummy
dummy
",1,2,False
125,Closure46,6,"delete MethodDeclaration TypeDeclaration
",,1,0,False
126,Closure46,7,"orig_dummy
","suggested_dummy
dummy
",1,2,False
127,Closure46,8,"delete MethodDeclaration TypeDeclaration
",,1,0,False
128,Closure46,9,"delete MethodDeclaration TypeDeclaration
",,1,0,False
129,Closure46,10,"delete MethodDeclaration TypeDeclaration
",,1,0,False
130,Closure51,1,"insert InfixExpression IfStatement
insert MethodDeclaration TypeDeclaration
move InfixExpression IfStatement InfixExpression
",,3,0,False
131,Closure51,2,"orig_dummy
","suggested_dummy
dummy
",1,2,False
132,Closure51,3,"orig_dummy
","suggested_dummy
dummy
",1,2,False
133,Closure51,4,"insert InfixExpression IfStatement
insert MethodDeclaration TypeDeclaration
move InfixExpression IfStatement InfixExpression
","insert InfixExpression IfStatement
insert MethodDeclaration TypeDeclaration
",3,2,False
134,Closure51,5,"orig_dummy
","suggested_dummy
dummy
",1,2,False
135,Closure51,6,"orig_dummy
","suggested_dummy
dummy
",1,2,False
136,Closure51,7,"insert InfixExpression IfStatement
insert MethodDeclaration TypeDeclaration
move InfixExpression IfStatement InfixExpression
","insert InfixExpression IfStatement
insert MethodDeclaration TypeDeclaration
",3,2,False
137,Closure51,8,"insert InfixExpression IfStatement
insert MethodDeclaration TypeDeclaration
move InfixExpression IfStatement InfixExpression
",,3,0,False
138,Closure51,9,"insert InfixExpression IfStatement
insert MethodDeclaration TypeDeclaration
move InfixExpression IfStatement InfixExpression
","insert InfixExpression IfStatement
insert MethodDeclaration TypeDeclaration
",3,2,False
